"nazar","göz, bakış"
"nihâyetsiz","sonsuz"
"nokta-i nazar","bakış açısı"
"nükte","ince ve derin anlamlı söz"
"Rabb-i Zülcelâl","sonsuz heybet ve yücelik sahibi ve herşeyin Rabbi olan Allah"
"sıfat-ı İlâhiye","Allah’ın sıfatına ait özellik"
"şuâ","ışın, güçlü ışık"
"şuhud","görme, şahid olma"
"tahattur-u hakàik","hakikatleri hatırlamak"
"tâliken","geciktirerek, erteleyerek"
"tebâud etmek","uzaklaşmak"
"tekellüm","konuşma"
"umum","bütün"
"vücud","varlık"
"zâhir","açık, âşikar"
"Zât-ı Ehad-i Samed","herşey Kendisine muhtaç olduğu halde, Kendisi hiçbir şeye muhtaç olmayan, bir ve benzersiz olup ortağı olmayan Zât, Allah"
"âlem-i gayb","gayb âlemi, görünmeyen âlem"
"âlem-i şehâdet","görünen âlem, bu dünya"
"Aleyhissalatü Vesselâm","Allah’ın salât ve selâmı onun üzerine olsun"
"avâm","halk tabakası"
"cesâmet","büyüklük"
"cevv-i semâ","gökyüzü"
"cirm","cisim"
"ehl-i ilim","ilimle uğraşan kişiler, âlimler"
"ehl-i kitap","Allah’ın gönderdiği kitaplara inanan Hıristiyan ve Yahudiler"
"erkân-ı imaniye","iman esasları"
"fonoğraf","gramofonun ilk şekli, ses cihazı"
"hadsiz","sınırsız, sayısız"
"hakaik","hakikatler, gerçekler"
"hakàik-ı îmâniye","iman hakikatleri"
"hakikat","gerçek"
"hasr-ı kelâmî","konuşmanın yalnız belli şeyler üzerinde yoğunlaştırılması"
"hazine-i ezeliye-i kelâm-ı İlâhî","İlâhî konuşma sıfatının başlangıcı ve sonu olmayan hazinesi"
"hikmet","amaç, gaye"
"kâtip","yazıcı"
"kelâm","ifade, söz"
"Kelâm-ı Ezelî","başlangıcı ve sonu olmayan Allah’ın kelâmı, Kur’ân-ı Kerim"
"kelimât","kelimeler, sözler"
"kıllet-i ilim","bilgi azlığı"
"Kur’ân-ı Mu’cizü’l-Beyan","açıklamalarıyla benzerini yapmakta akılları âciz bırakan Kur’ân"
"kusur-u zihnî","zihin ve düşünce eksikliği"
"mâlûm","bilinen"
"menba","kaynak"
"mesâil","meseleler"
"mucizâne","mucizeli bir şekilde"
"müteaddit","bir çok, değişik"
"mütenâhi","sona eren, biten"
"müteveccih olmak","yönelmek"
"nağamât","nağmeler, hoş sesler"
"nazar-ı dikkati celb etmek","dikkat çekmek"
"nebâtât","bitkiler"
"nihâyetsiz","sonsuz"
"noksaniyet","eksiklik"
"nokta-i nazar","bakış açısı"
"Peygamber-i Zîşan","şan ve şeref sahibi Hz. Muhammed (a.s.m.)"
"taarruz etmek","saldırmak"
"tabakat-ı beşer","insan grupları"
"tahkik","doğruluğunu araştırma"
"tanînendâz","çınlayan"
"tazammun eden","içine alan, kapsayan"
"tekellümvâri","konuşur gibi"
"tesbihat","Allah’ı her türlü kusurdan yüce tutarak şanına lâyık ifadelerle anma"
"ulemâ-i Yehûd","Yahudi âlimleri"
"umum","bütün, genel, herkes"
"ümmî","okuma-yazma bilmeyen, tahsil görmemiş"
"zâhiren","dış görünüş itibariyle"
"zerrat","zerreler, atomlar"
"zîşuur","şuur, bilinç sahibi"
"âhize","alıcı"
"arz","yer"
"âyet","Kur’ân’da yer alan her bir cümle"
"âyet-i kerîme","Kur’ân-ı Kerim’de yer alan her bir cümle"
"âyine","ayna"
"beşer","insan"
"Cenâb-ı Hak","Hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"cünûd","askerler"
"ehemmiyetli","değerli, önemli"
"gayr-ı mütenâhi","sınırsız, sonsuz"
"hâsiyetli","üstün özellikli"
"hayattar","canlı"
"hikmetli","faydalı, gayeli"
"hitap eden","konuşan"
"hurûfât","harfler"
"hurufât-ı Kur’âniye","Kur’ân harfleri"
"ilham","Allah tarafından canlı varlıkların kalbine gönderilen mânâ"
"kaderî","kaderle ilgili"
"kâtip","yazıcı"
"kelâm","ifade, söz"
"kelâm-ı İlâhî","Allah’a ait söz, konuşma"
"kelâmullah","Allah’ın kelâmı, sözü"
"kelimât","kelimeler, sözler"
"kelime-i Rabbâniye","herbir varlığa muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah’ın kelimesi, sözü"
"kıymettar","değerli"
"Kudret","Allah’ın bütün âlemleri kuşatan güç ve iktidarı"
"kudsî","kutsal, her türlü kusur ve noksandan uzak"
"Kur’ân-ı Hakîm","her âyet ve sûresinde sayısız hikmet ve faydalar bulunan Kur’ân"
"mahlûk","varlık"
"mânâ-yı işârî","işaret yoluyla kastedilen mânâ"
"melâike","melekler"
"mevcudat","varlıklar"
"mücessem","cisimleşmiş"
"Mütekellim-i Ezelî","konuşma sıfatının başlangıcı ve sonu olmayan Allah"
"mütemadiyen","sürekli olarak"
"nâkile","taşıyıcı"
"nebat","bitki"
"nevi","çeşit"
"nihâyetsiz","sonsuz"
"Pâdişâh-ı Bîmisâl","Benzersiz Pâdişah, Allah"
"remzen","işareten"
"Saltanat-ı Mutlaka","Allah’ın bütün varlık âlemi üzerindeki sınırsız hâkimiyeti"
"sıfat-ı Kelâm","Allah’ın hiçbir vasıtaya ihtiyaç duymaksızın sahip olduğu konuşma sıfatı"
"suret","şekil"
"teksir etmek","çoğaltmak"
"umum","bütün"
"zerrât-ı havâiye","hava zerreleri, atomları"
"zîhayat","canlı"
"zîşuur","şuur, bilinç sahibi"
"âlûde","karışık"
"avâm","halk tabakası"
"Cenâb-ı Hak","Hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"cihetiyle","yönüyle"
"ehl-i gaflet","âhirete, Allah’ın emir ve yasaklarına karşı duyarsız olanlar"
"el’iyâzü billâh","Allah korusun"
"fikr-i tabiat","herşeyi tabiatın yarattığını kabul eden düşünce; tabiat fikri"
"firavun","tanrılık iddiasında bulunma"
"gafil","Allah’ı düşünmeyen ve sorumluluklarından habersiz"
"hakaik-i ulviye","yüce gerçekler"
"hakikat","doğru gerçek"
"Hâlık","her şeyi yaratan Allah"
"havas","seçkin kişiler, âlimler"
"istidad","kabiliyet"
"istilâ","işgal"
"ittihaz etmek","edinmek, kabullenmek"
"izahat","açıklamalar"
"lem’acık","küçük lem’a, parıltı"
"mâbud","ibadet edilen"
"maddiyyun","maddeciler, materyalistler"
"mâsiva/mâsivâ-yı İlâhî","Allah’ın dışındaki varlıklar"
"mesele-i vahdetü’l-vücud","vahdetü’l-vücud meselesi"
"meşreb","hareket tarzı, metod"
"münasebet","bağlantı, ilgi"
"müstakil","bağımsız, başlı başına"
"nefs-i emmâre","hazır zevke düşkün ve insanı kötülüğe sevk eden duygu"
"nüfus-u emmâre","insana daima kötülüğü emreden, yasak zevk ve isteklere teşvik eden nefisler"
"nükte","ince ve derin anlamlı söz"
"ref etmek","ortadan kaldırmak"
"rububiyet","her bir varlığa muhtaç olduğu şeyleri verme, onları terbiye edip idaresi ve egemenliği altında bulundurma"
"Sevr ve Hut","Öküz ve Balık"
"tabiat","canlı cansız bütün varlıklar, doğa"
"telâkki etmek","kabul etmek, algılamak"
"telkin etmek","fikir aşılamak, zihinde yer ettirmek"
"temsil","analoji, kıyaslama tarzında benzetme"
"tesmiye edilen","isimlendirilen"
"teşbihat","benzetmeler"
"ulûhiyet","ibadete ve itaat edilmeye lâyık olma; İlâhlık"
"vahdetü’l-vücud","“Allah’ın varlığı o kadar mükemmeldir ki, diğer varlıklar Ona göre bir gölge gibidir ve ‘varlık’ adını almaya lâyık değiller” tarzında bir tasavvufî görüş"
"Arş/Arş-ı Âlâ","Cenâb-ı Hakkın büyüklük ve yüceliğinin tecelli ettiği yer"
"Arştan ferşe","göğün en yüksek tabaksından yere"
"Cenâb-ı Hak","Hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"esbab","sebepler"
"ferş","yer"
"ferşten Arşa","yerden göğün en yüksek tabakasına"
"fikren","düşünce olarak"
"fonoğraf","gramofonun ilk şekli, ses cihazı"
"giriftar olmak","tutulmak"
"hilâf-ı hakikat","gerçeğe aykırı"
"istiğrâkî","Allah aşkıyla kendinden geçme"
"kelâmullah","Allah’ın konuşması"
"kuvvet-i iman","iman gücü"
"mâdum","yok, hiç olmuş"
"medar olmak","sebep olmak, vesile olmak"
"muallâ","yüksek, yüce"
"mukaddes","kusur ve eksiklikten uzak, kutsal"
"muvafık","uygun"
"müberrâ","arınmış, temiz"
"münezzeh","arınmış, kusur ve eksiklikten yüce"
"nazar","bakış"
"sebebiyet vermek","sebep olmak"
"serâdan Süreyyaya","yerden Ülker yıldızına kadar; birbirine zıt ve uzak şeyler için söylenen bir ifadedir"
"sukut etmek","düşmek, alçalmak"
"tagayyür","başkalaşma, değişme"
"tahayyüz","yer tutma, yer alma"
"takaddüs","kutsal olma, yüce ve temiz olma"
"tasavvurât","düşünceler, tasavvurlar"
"tasavvurât-ı bâtıla","batıl şeyleri zihinde canlandırma"
"tebeddül","değişme"
"tecezzî","bölünme, parçalanma"
"telkinât-ı bâtıla","doğru olmayan telkinler"
"tenezzüh","kusur ve noksandan uzak olma"
"vahdetü’l-vücud","“Allah’ın varlığı o kadar mükemmeldir ki, diğer varlıklar Ona göre bir gölge gibidir ve ‘varlık’ adını almaya lâyık değiller” tarzında bir tasavvufî görüş"
"Vâhid-i Ehad","bir olan ve birliği her bir şeyde görülen Allah"
"vücub-u vücud","varlığının gerekli ve zorunlu oluşu"
"Zât-ı Zülcelâl","sonsuz büyüklük ve haşmet sahibi Zât, Allah"
"asrî","çağdaş, modern"
"cihetiyle","yönüyle"
"dalâlet","hak yoldan sapkınlık, inançsızlık, inkâr"
"efkâr","fikirler, düşünceler"
"Ehl-i Sünnet","Hz. Muhammed’in sünnetine uyan, onun yolundan giden büyük Müslüman topluluk"
"fevkinde","üstünde"
"hâdî","doğru ve hak yola ulaşan kişi"
"hakaik","hakikatler, gerçekler"
"hakaik-i İslâmiye","İslâmiyetin hakikatleri, gerçekleri"
"hususan","özellikle"
"ifade etmek","anlatmak, söylemek"
"ifrat etmek","bir şeyde aşırıya gitmek"
"kâfir","Allah'ı veya Allah’ın bildirdiği kesin olan bir şeyi inkâr eden kimse"
"kavâid-i Ehl-i Sünnet","Hz. Muhammed’in sünnetine uyan, onun yolundan giden büyük Müslüman topluluğu tarafından belirlenen kurallar"
"kelâm","ifade, söz"
"küfür","Allah’ı inkâr"
"makam","derece, konum"
"makbul","kabul edilen"
"merdut","reddolunmuş, geri çevrilmiş"
"mizansız","ölçüsüz"
"mucize","insanların benzerini yapmakta aciz kaldıkları olağanüstü iş"
"muhakkikîn","gerçekleri araştıran ve delilleriyle ortaya koyan âlimler"
"muhalefet etmek","aykırı davranmak"
"muvazene etmek","karşılaştırmak; dengeye getirmek"
"müberrâ","arınmış, temiz"
"müdafaat","savunmalar"
"mühdî","hidayete ulaştıran"
"mümâşâtkâr","uyumlu olan"
"mürşid","doğru yol gösteren"
"müsait","uygun"
"nazara almak","dikkate almak"
"nisbeten","kıyasla"
"taassup","körü körüne bağlılık"
"tahrif etmek","değiştirmek, bozmak"
"teceddüd","yenilenme"
"tefrit etmek","bir şeye aşırı seviyede ilgisiz kalmak"
"tevil","yorum"
"tezyif","küçük düşürme"
"ulûm-u İslâmiye","İslâm ilimleri"
"vahdetü’l-vücud","“Allah’ın varlığı o kadar mükemmeldir ki, diğer varlıklar Ona göre bir gölge gibidir ve ‘varlık’ adını almaya lâyık değiller” tarzında bir tasavvufî görüş"
"zâhirî","görünürde"
"ziyade","çok, fazla"
"alâkadar","alakalı, ilgili"
"âlem","dünya"
"ebedî","sonsuz"
"ecza","kısımlar, bölümler"
"enîs","cana yakın, dost"
"evâmir","emirler"
"ferah","rahatlık"
"fevkalâde","olağanüstü"
"gaflet","Allah’ın emir ve yasaklarına duyarsız davranma hâli"
"gayr-ı mütenâhi","sınırsız, sonsuz"
"habib","sevgili"
"hâlî","ıssız"
"hane","ev"
"hayalen","hayal ederek"
"ifade etmek","anlatmak, söylemek"
"ihtiyâcât","ihtiyaçlar"
"inbisat","genişleme, yayılma"
"inkişaf eden","açığa çıkan"
"ins ve cin","insanlar ve cinler"
"mahiyet-i insaniye","insana ait temel özellik, insanın temel yapısı"
"Mâlik-i Rahîm-i Kerîm","bol ihsan ve ikram sahibi; sonsuz şefkat ve merhamet sahibi olan herşeyin sahibi Allah"
"memuriyet","emir altında oluş, emir ile hareket"
"mûnis","cana yakın, dost"
"müşahede etmek","gözlemlemek"
"nev’","çeşit, tür"
"nurlandıran","aydınlatan"
"nükte","derin ve ince anlamlı söz"
"rahmet","İlâhî şefkat ve merhamet"
"sadır","en ileride, en başta, en yüksek yerde"
"salât","Peygamberimiz için yapılan dua"
"salâvat","Peygamberimize edilen rahmet ve esenlik duası"
"sürur","mutluluk, sevinç"
"şahsiyet-i mâneviye-i Muhammediye","Hz. Muhammed’in (a.s.m.) mânevî şahsiyeti, varlığı"
"taarruz","saygısız davranışta bulunma"
"takdir etmek","birşeyin değerini anlamak ve ilân etmek"
"tecdid-i biat","bağlılık sözünü yenileme"
"tedehhüş etmek","dehşete kapılmak, korkmak"
"tenvir etmek","aydınlatmak"
"tesbihat","Allah’ı her türlü kusurdan yüce tutarak şanına layık ifadelerle anma"
"teslim","bağlanma"
"tevahhuş etmek","korkmak, ürkmek"
"ümmet","Hz. Peygambere inanıp onun yolundan giden mü’minler"
"ünsiyet","cana yakın, dost"
"yâ Resulullah","ey Allah’ın Resûlü"
"yaver-i ekrem","çok değerli, yüksek şeref sahibi elçi"
"Zât-ı Ahmediye","Peygamber Efendimizin (a.s.m.) zâtı, kendisi"
"Zât-ı Risalet","Allah’ın elçisi olan zât, Hz. Muhammed (a.s.m.)"
"cihet","yön"
"cin ve ins","cinler ve insanlar"
"Essalâtü vesselâmü aleyke yâ Resulallah","Allah’ın salât ve selâmı üzerine olsun ey Allah’ın Resûlü"
"Hak","herşeyi hakkıyla yaratan, varlığı hak olan ve her hakkın sahibi olan Allah"
"Hâlık","her şeyi yaratan Allah"
"hasebiyle","sebebiyle"
"haysiyetiyle","özelliğiyle"
"hazine-i rahmet","Allah’ın sonsuz rahmet hazinesi"
"izhar etmek","göstermek"
"kat’î","kesin"
"kemâl","kusursuzluk, mükemmellik"
"lisan-ı hal","hâl ve beden dili"
"lisan-ı kàl","söz ile anlatım"
"mahlûk","varlık"
"makasıd-ı İlâhiye","İlâhî gayeler, istenilen şeyler"
"mânen","mânevî olarak"
"masnu","san’at eseri"
"mevcud","varlık"
"mezkûr","adı geçen, anılan"
"mukabele etmek","karşılık vermek"
"müşahede","gözlemleme"
"namına","adına"
"nev’","çeşit, tür"
"nimetlendirmek","nimet vermek"
"niyaz","dua, yalvarış, yakarış"
"nur","aydınlık, ışık"
"rahmet","İlâhî şefkat ve merhamet"
"risalet","elçilik, peygamberlik"
"salât","Peygamberimiz için yapılan dua"
"salâvat","Peygamberimize edilen rahmet ve esenlik duası"
"semâvât ehli","ruhanî varlıklar, melekler"
"şâkirâne","şükrederek"
"şükran","minnettarlık, teşekkür"
"tecdid-i bîat","bağlılık sözünü yenileme"
"tecellî etmek","görünmek, ortaya çıkmak"
"tenvir etmek","aydınlatmak"
"teveccüh","ilgi, yönelme"
"tezahür etmek","görünmek, ortaya çıkmak"
"ubudiyet","kulluk"
"umum","bütün"
"umumî","genel"
"vazife-i Rabbâniye","her şeyin Rabbi olan Allah’a karşı yapılan görev"
"Zât-ı Ahmediye","Peygamber Efendimizin (a.s.m.) zâtı, kendisi"
"zîşuur","şuur sahibi"
"ârız olmak","ortaya çıkmak, kendini göstermek"
"atâlet","hareketsizlik, tembellik"
"cihet","yön"
"duhâ vakti","kuşluk vakti"
"ekseriya","çoğunlukla"
"fecir","sabah tan yerinin ağarmaya başladığı zaman"
"feylûle","ikindiden akşama kadarki zaman dilimi"
"gaylûle","sabah, tan yerinin ağarmaya başlamasından, tâ güneşin bir mızrak boyu (yaklaşık 45 dk.) yükselmesine kadar geçen zaman dilimi"
"hadis","Peygamberimizin (a.s.m.) mübarek söz, fiil ve hareketi veya onun onayladığı başkasına ait söz, iş veya davranış"
"hilâf-ı sünnet","sünnete zıt, aykırı"
"ihzar etme","hazırlama"
"kaylûle","kuşluk vaktinden öğlenden biraz sonraya kadarki zaman dilimidir ki bu zaman diliminde uyumak sünnettir"
"kıyam","ayakta olma, uyanık olma"
"mağrib","akşam vakti"
"mukaddemât","başlangıç şartları"
"münasebetiyle","sebebiyle"
"münasip","uygun"
"nevi","çeşit, tür"
"nevm-âlûd","uykulu"
"noksaniyet","noksanlık, eksiklik"
"rehavet","tembellik, uyuşukluk"
"rızık","Allah’ın ihsan ettiği nimetler, yiyecekler"
"sa’y etme","çalışma"
"sebebiyet verme","sebep olma"
"sünnet/sünnet-i seniyye","Peygamberimizin söz, fiil ve hareketlerine dayanan yüce prensipler"
"tezahür etmek","görünmek, ortaya çıkmak"
"vakt-i kerahet","kerahet vakti; güneşin doğduğu, battığı ve tepede olduğu anlar"
"âyet-i celile","büyük ve yüce anlamları içinde bulunduran âyet"
"âdet-i kavmiye ve muhitiye","yerel ve genel çerçevede âdet olan uygulama"
"Ceziretü’l-Arab","Arap Yarımadası"
"kıyam","ayakta olma, uyanık olma"
"medar","sebep, vesile"
"muadil","denk"
"Said Nursî",""
"sünnet/sünnet-i seniyye","Peygamberimizin söz, fiil ve hareketlerine dayanan yüce prensipler"
"şiddet-i hararet","şiddetli sıcaklık"
"tatil-i eşgal","işe ara verme"
"tezyid","arttırma"
"vaktü’z-zuhr","öğle vakti"
"adese","mercek"
"âkıbetbîn","âkıbeti gören; ileri görüşlü"
"aşk-ı bekà","devamlı ve kalıcı olma aşkı"
"azîm","çok büyük"
"bâki","devamlı ve kalıcı olan"
"beyan etmek","açıklamak"
"biçare","çaresiz"
"cihet","taraf, yön"
"ebedperest","sonsuz hayata arzulu"
"endişe-i istikbal","gelecek endişesi"
"gaflet","Allah’ın emir ve yasaklarına duyarsız davranma hâli"
"gafletkârâne","Allah’ın emirlerine karşı umursamaz ve duyarsız davranırcasına"
"gayr-ı meşru","helâl olmayan, dine aykırı"
"hakikat","gerçek, esas"
"huzurkârâne","kişinin kendisini Allah’ın huzurunda hissetmesi şeklinde"
"idame","devam"
"inkılâp etmek","dönüşmek"
"inkişaf eden","ortaya çıkan"
"istikbal","gelecek"
"istilâ etmek","işgal altına almak"
"kaide","kural"
"kemâl-i neş’e","tam bir neşe"
"küllü âtin karîb","gelecekte olacak her şey yakındır"
"mâsumâne","günahsız bir şekilde"
"meftun","düşkün"
"meşru","helal, dine uygun"
"mezaristan ehli","mezardakiler"
"mezaristan","mezarlık"
"muvakkat","geçici"
"müteharrik","hareketli"
"müteşekkirâne","teşekkür ederek"
"nazar-ı hayal","bir meseleye hayalen bakmak"
"nev-i beşer","insanlar"
"nimet","Allah’ın rızık olarak verdiği herşey; yiyecek, içecek"
"nimet","iyilik, ihsan"
"nükte","ince ve derin anlamlı söz"
"rivayet","Hz. Peygamberden (a.s.m.) aktarılan ifade, hadis-i şerif"
"sima","yüz"
"şâşaalı","gösterişli, göz alıcı bir şekilde"
"şükür","teşekkür etme, Allah’a karşı minnet duyma"
"tergibat","teşvikler, istek uyandırıcı ifadeler"
"tevahhuş","korkma, ürküntü"
"vaziyet","durum, hâl"
"vaziyet-i hayatiye","hayat durumu"
"zevâl","gelip geçicilik, yokluk"
"zikrullah","Allah’ı çeşitli ifadelerle anma"
"ziyadeleştirmek","çoğaltmak"
"âhiret","öteki dünya, ölümden sonraki ebedî hayat"
"bedel","karşılık"
"cihet","yön"
"dârü’l-hizmet","hizmet alanı"
"dârü’l-mükâfat","ödüllendirme yeri"
"ders-i hakâik","hakikatlere ulaştırma dersi"
"dünyevî","dünya ile ilgili"
"düstur","kural"
"ehemmiyet","değer, önem"
"ehl-i hakikat","doğru ve hak yolda olan kimseler"
"envâr","nurlar"
"ezvâk","zevkler, lezzetler"
"fazilet","üstün değer"
"ferd","kişi, birey"
"feyiz","mânevî bereket, bolluk"
"hâlis","içten, ihlâslı"
"hâriç","dış"
"hevesî","zevk ve hevesten kaynaklanan"
"ilm-i hakikat","hakikat ilmi, bilgisi"
"irşad","doğru yolu gösterme, uyarma"
"kerâmet","ihsan; Allah’ın sevdiği kullarına ikram olarak verdiği olağanüstü hal ve özellik"
"keşif","mânevî alemlerdeki gizli olan hakikatleri açığa çıkarma"
"külfet","güçlük, zorluk"
"makam","derece"
"merciiyet","müracaat yeri olma"
"meslek-i uhuvvet","kardeşlik mesleği"
"meşakkat","güçlük, zorluk"
"meşreb-i hıllet","yakın dostluğu öngören hareket tarzı"
"meşreb-i uhuvvetkârâne","kardeşliği öngören hareket tarzı"
"muhâfaza etmek","korumak, saklamak"
"müptelâ","bağımlı, düşkün"
"mürşid","irşad eden, doğru yolu gösteren"
"müteaddit","çeşitli, birçok"
"nefisperest","nefsin arzu ve isteklerine çok düşkün olan"
"peder","baba"
"Risaletü’n-Nur","Risale-i Nur’un diğer bir adı"
"Sahâbe","Hz. Peygamberi (a.s.m.) gören ve onun yolundan giden Müslümanlar"
"setretme","örtme, gizleme"
"sırr-ı verâset-i Nübüvvet","Peygamber varisliğinin sırrı"
"suret","şekil, yön"
"şâkirt","talebe, öğrenci"
"şeyh","bir tarikatta en üst konuma ulaşmış kimse; bir tekkede ders veren ve müritleri bulunan kimse"
"tarikat","İlâhî hakikatlere ulaşmak için, şeyhin gözetiminde takip edilen yol"
"velâyet-i kübrâ","en büyük velilik"
"âlem-i İslâm","İslâm dünyası"
"cihet","taraf, yön"
"ehemmiyet","değer, önem"
"evvelâ","ilk olarak"
"fazilet","üstün değer"
"hâriç","dış"
"intisâb","bağlanma"
"irşad","doğru yolu gösterme, uyarma"
"kesretli","pek çok"
"muhtemel","ihtimal dahilinde"
"mücâhede","cihad etme, din düşmanına karşı mücadele yapma"
"nâmına","adına"
"peder","baba"
"şâkirt","öğrenci, talebe"
"takvâ","Allah’tan korkup emir ve yasaklarına titizlikle uyma"
"vaziyet","durum"
"ziyade","çok, fazla"
"âli","yüksek"
"aziz","çok değerli, izzetli"
"beyan etmek","açıklamak, izah etmek"
"ehemmiyetli","değerli, kıymetli"
"ehl-i ilim","ilim ehli olanlar, âlimler"
"ehl-i takvâ","takvâ sahipleri; Allah’tan korkup emir ve yasaklarına titizlikle uyan kimseler"
"emâre","belirti, işaret"
"emniyet","güven"
"entrika","dalavere, dolap çevirme"
"faide","fayda, yarar"
"feyiz","ilham, irfân, bereket"
"gücenme","darılma"
"hâlis","saf, samimi"
"hariç","bir şeyin dışında olan"
"hemşehri","aynı şehirli olan"
"heves","gelip geçici arzu ve istek"
"huruf","harfler"
"hükûmet","idare, yönetim"
"intişar","yayılma"
"ittiham","suçlama, suçlu duruma düşürme"
"kanaat etmek","yetinmek"
"makam","konum, derece"
"malûm","bilinen, belli"
"medar","sebep"
"menfaat","çıkar, kişisel yarar"
"merdâne","mertçe"
"meşreb-i nurânî-i peygamberî","peygamberin nurlu yolu"
"musibetzede","belâya, sıkıntıya düşmüş olan kimse"
"müdafaa","savunma"
"müdafaat","savunmalar"
"müteaddit","bir çok, çeşitli"
"nazar-ı dikkati celb","dikkat çekme"
"nazar-ı millet","milletin bakışı, düşüncesi"
"rıza","memnuniyet"
"rüfeka","refikler, arkadaşlar"
"seciye-i âliye-i Sahabe","Sahabelerin yüksek karakteri"
"şahs-ı mânevî","belli bir kişi olmayıp bir cemaatten meydana gelen mânevî şahıs"
"takdirkârâne","takdir edercesine"
"takviye etmek","güçlendirmek, desteklemek"
"talebe","öğrenci"
"tarikat","İlâhî hakikatlere ulaşmak için, şeyhin gözetiminde takip edilen yol"
"tebrie","beraat ettirme"
"tecessüs eden","casusluk yapan, gizlice araştıran"
"tekerrür etme","tekrarlanma"
"tenkidkârane","eleştiri şeklinde"
"vasıta","aracı"
"veli","Allah dostu"
"bîçare","çaresiz, zavallı"
"ekser","çoğunluk"
"evvel","önce olma"
"garaz","kötü kasıt"
"hâşâ","asla öyle değil"
"hayırhah","başkasının iyiliğini isteyen"
"ihtiyarsız","iradesiz, düşünmeden"
"ihtiyat etmek","önlem almak, tedbirli olmak"
"ihtiyatsız","önlem almadan, tedbirsiz"
"intişar etmek","yayılmak, dağılmak"
"iştihar etmek","meşhur olmak, tanınmak"
"mazur","mazeretli"
"meçhul","bilinmeyen"
"muhafaza","koruma"
"muvafık","uygun, yerinde"
"müdafaa","savunma"
"münasebet","ilişki, bağlantı"
"müsellem","doğruluğu şüphesiz kabul edilmiş"
"netice verme","sonuç verme"
"nimet-i uzmâ","büyük nimet"
"nükte","ince ve derin anlamlı söz"
"rica etmek","ummak, ümit etmek"
"safdil","saf kalpli, kolay aldanan"
"safvet","paklık, temizlik"
"sebeb-i ittiham","suçlama sebebi"
"sebebiyet vermek","neden olmak"
"suret","biçim, şekil"
"şakird","talebe, öğrenci"
"şeyh","bir tarikatta en üst konuma ulaşmış kimse; bir tekkede ders veren ve müritleri bulunan kimse"
"tahrik etmek","harekete geçirmek"
"tarikat","İlâhî hakikatlere ulaşmak için, şeyhin gözetiminde takip edilen yol"
"teellümat","elemler, acılar"
"tenkid","eleştiri"
"tevkif","tutuklama"
"umum","bütün"
"yekvücud","tek vücud"
"zahirî","açık, görünürde"
"zaif","zayıf"
"ziyade","çok, fazla"
"bâkî","devamlı ve kalıcı olan"
"cemiyet","dernek"
"cidden","ciddî olarak"
"cihet","taraf, yön"
"dergâh-ı İlâhiye","Allah’ın yüce katı, makamı"
"ecnebî","yabancı"
"ehl-i hakikat","doğru ve hak yolda olan kimseler"
"ehl-i kalb","kalb ehli, mânevî derecelere yükselen kişiler"
"elvân-ı seb’a","yedi renk"
"entrika","dalavere, dolap çevirme"
"Gavs-ı Âzam","Abdulkâdir-i Geylânî (k.s.)"
"Hafîz-i Zülcelâl","sonsuz haşmet ve yücelik sahibi, büyük küçük herşeyi kaydedip koruyan Allah"
"hakikat","asıl, esas, gerçek mahiyet"
"hıfz","koruma, muhafaza etme"
"himâye-i Rabbâniye","Allah’ın koruma ve himâyesi"
"himayet","koruma"
"ihtâr edilmek","uyarılmak"
"inayet-i Rahmâniye","çok merhametli ve şefkatli olan Allah’ın inayeti, yardımı"
"inşaallah","Allah izin verirse"
"istintak","konuşturma, sorgulama"
"keramet-i gaybiye","gelecekle ilgili keramet"
"komite","cemiyet, topluluk"
"kudsî","her türlü kusur ve noksandan uzak"
"lâyemut","ölümsüz"
"mahrem","gizli"
"mânen","mânevî yönden"
"mazlum","zulme uğramış"
"mevcut","var olan"
"Mevlevîler","Mevlevî tarikatına bağlı olanlar"
"muhafaza-i İlâhiye","İlâhî muhafaza, Allah’ın koruması"
"muhalif","aykırı, zıt"
"muvafık","uygun"
"münasebet","bağlantı, ilgi"
"münasebettar","alâkalı, ilgili"
"münteşir","yayılmış"
"mürşid","irşad eden, doğru yolu gösteren"
"müteaddit","bir çok, çeşitli"
"risale","Risale-i Nur’un her bir bölümü"
"şems-i Kur’ân","Kur’ân güneşi"
"şerâfet","şereflilik"
"şerîf","şerefli, yüce"
"temessül etmek","göstermek, yansıtmak"
"teyid etmek","desteklemek"
"tezâhür etmek","ortaya çıkmak, görünmek"
"zahir","açık, âşikar"
"ziya","ışık"
"âhir","son"
"âlî","yüce"
"amel etmek","uygulamak, yerine getirmek"
"âyet","Kur’ân’da yer alan her bir cümle"
"desise","hile, aldatma"
"düstur-u kudsî","kutsal prensip"
"düstur-u uhuvvet","kardeşlik kuralı"
"ehl-i isyan","Allah’a karşı isyan eden kimseler"
"elhak","gerçekten"
"hak ve hakikat","doğru ve gerçek"
"haysiyet","itibar, saygınlık"
"ihtar etmek","hatırlatmak"
"ihtâr-ı mânevî","mânevî yönden gelen uyarı"
"işarât","belirtiler"
