"arz","yer, dünya"
"ekser","pekçok"
"mahlûkat","yaratıklar"
"tasarruf","dilediği gibi kullanan ve yöneten"
"ekser","pekçok"
"zîhayat","canlı"
"mevcudat","varlıklar"
"teshir","boyun eğdirme"
"ekser","pekçok"
"masnuat","sanat eseri varlıklar"
"hevesat","heves ve arzular"
"hendese","plan, çizgi"
"ihtiyacat","ihtiyaçlar"
"düstur","prensip, kural"
"tanzim","düzenleme"
"teşhir","sergileme"
"tezyin","süsleme"
"nevi","çeşit, tür"
"ins ve cin","insanlar ve cinler"
"nazar","bakış"
"semâvât ehli","yüce âlemlerde yaşayanlar; melekler, ruhaniler vb."
"kâinat","evren, yaratılmış herşey"
"nazar-ı dikkat","dikkat içeren bakış"
"Kâinatın Sahibi","evrenin ve herşeyin yaratıcısı ve sahibi olan Allah"
"nazar-ı istihsan","güzel bulan ve beğenen bakış"
"celbetmek","çekmek"
"haysiyet","özellik"
"kâinat","evren, yaratılmış herşey"
"hikmet-i hilkat","yaratılış gayesi"
"arz","yer"
"halife","yeryüzünde Allah namına hareket eden insan"
"fen","bilim"
"cihet","yön"
"Sâni-i Âlem","bütün evreni sanatlı bir şekilde yaratan Allah"
"teşhir","sergileme"
"tanzim","düzenleme"
"tehir","ertelenme"
"imhal","süre verilme"
"muvaffakiyet","başarı"
"nev-i beni Âdem","Âdemoğulları, insanlar"
"mâhiyet","özellik, nitelik"
"nev-i benî Âdem","Âdemoğulları, insanlar"
"mizaç","yaratılış, tabiat"
"hilkat","yaratılış"
"âciz","güçsüz"
"acz","güçsüzlük"
"fakr","fakirlik"
"hadsiz","sınırsız"
"ihtiyacât","ihtiyaçlar"
"teellümât","elemler, acılar"
"ihtiyar","tercih, seçim yapma gücü"
"fevkinde","üstünde"
"küre-i arz","yerküre, dünya"
"nev-i insan","insanlar"
"nevi","çeşit, tür"
"mahzen","depo"
"nevi","çeşit, tür"
"taam","yiyecek"
"nev-i insan","insanlar"
"suret","şekil"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"mutasarrıf","herşeyi dilediği gibi kullanan ve idare eden"
"nev-i insan","insanlar"
"bakı","devamlı, kalıcı"
"Rab","herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri veren, onları terbiye eden ve idaresi ve egemenliği altında bulunduran Allah"
"bâki","devamlı, kalıcı"
"bâki","devamlı, kalıcı"
"âlem","dünya"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"hayat-ı dünyeviye","dünya hayatı"
"ömr-ü beşer","insan ömrü"
"muvakkat","geçici"
"fâni","ölümlü, gelip geçici"
"Hâkim-i Ezelî","egemenliği zaman öncesinden beri devam eden Allah"
"haşmet-i saltanat","saltanatın ihtişamı ve görkemi"
"sermediyet-i hâkimiyet","egemenliğin devamlılığı"
"nev-i insan","insanlar"
"vuku","meydana gelmek"
"kâinat","evren, yaratılmış herşey"
"intizam","düzen"
"muvazene","denge"
"hüsn-ü cemâl","güzellik"
"münâfi","zıt, aykırı"
"velinimet","nimeti veren"
"inkâr","kabul etmeme, yok sayma"
"küfür","inanmama, nankörlük"
"gaddar","acımasız"
"biçare","çaresiz, zavallı"
"mazlum","zulme, haksızlığa uğrayan"
"meşakkat","güçlük, sıkıntı"
"umum","bütün"
"kâinat","evren, yaratılmış herşey"
"adalet-i mutlaka","sınırsız, tam ve yerinde adalet"
"mâhiyet","özellik, nitelik, esas"
"suret","şekil"
"gaddar","acımasız"
"meyus","ümitsiz"
"mazlum","zulme, haksızlığa uğrayan"
"müsâvat","eşitlik, denklik"
"müsaade","izin vermek"
"Kâinatın Sahibi","evrenin ve herşeyin yaratıcısı ve sahibi Allah"
"kâinat","evren, yaratılmış herşey"
"zemin","yer"
"zemin","yer"
"nev-i insan","insanlık, insan türü"
"intihap","seçmek"
"nev-i insan","insanlık, insan türü"
"makàsıd-ı rububiyet","Allah'ın bütün varlık âlemini terbiye edip idaresi ve egemenliği altında tutmasındaki maksat ve gayeler"
"tevafuk","denk gelme, uygunluk"
"hakikî","gerçek, doğru"
"enbiya","peygamberler"
"evliya","veliler, Allah dostları"
"asfiya","Hz. Peygamberin çizgisinde yaşayan ilim ve takvâ sahibi büyük zatlar"
"intihap","seçmek"
"mucize","bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şey"
"tevfik","yardım"
"semavî","gökten gelen"
"tazip","azap vermek"
"mefhar","övünme sebebi, övünç kaynağı"
"aleyhissalâtü vesselâm","Allah'ın salât ve selâmı onun üzerine olsun"
"intihap","seçmek"
"küre-i arz","yerküre, dünya"
"nev-i insan","insanlık, insan türü"
"nur","ışık"
"tenvir","nurlandırma, aydınlatma"
"kâinat","evren, yaratılmış herşey"
"tezahür","görünme, ortaya çıkma"
"kıymettar","kıymetli, değerli"
"hadsiz","sayısız, sınırsız"
"hadsiz","sayısız, sınırsız"
"müstehak","layık, hak etmiş"
"meşakkat","güçlük, sıkıntı"
"mücahede","cihad, savaş"
"cihet","yön"
"emsâl","benzerler"
"hayy","diri, canlı"
"idam-ı ebedî","sonsuz yokoluş"
"mahv","yok olmak"
"hâşâ ve kellâ","asla ve asla, kesinlikle öyle değil"
"kâinat","evren, yaratılmış herşey"
"hakikat-i âlem","âlemin gerçek mahiyeti, esası, içyüzü"
"Sahib-i Kâinat","evrenin ve herşeyin yaratıcısı ve sahibi Allah"
"icmâ-ı azîm","çok büyük fikir birliği"
"kâinat","evren, yaratılmış herşey"
"mülk","sahip olunan ve hükmedilen yer"
"kemâlât-ı İlâhiye","Cenâb-ı Allah'ın bütün noksanlıklardan yüce olan mükemmel isim ve sıfatları"
"medar","eksen, dayanak, vesile"
"vahdet","birlik"
"ehadiyet","Allah'ın herbir şeyde kendi varlığına ve sıfatlarına işaret eden birlik tecellisi"
"bedahet","açıklık"
"vahdet","birlik"
"ehadiyet","Allah'ın herbir şeyde kendi varlığına ve sıfatlarına işaret eden birlik tecellisi"
"kâinat","evren, yaratılmış herşey"
"Zât-ı Vâhid","bir ve tek olan Zât, Allah"
"emirber nefer","emre hazır asker"
"musahhar","emre uyan, boyun eğen"
"âhiret","öteki dünya, öldükten sonraki hayat"
"kemâlât","mükemmellikler, üstünlükler"
"sukut","düşüş, alçalış"
"adalet-i mutlaka","tam ve yerinde adalet"
"müstehziyâne","alay edercesine"
"gadr-ı mutlak","tam zulüm ve merhametsizlik"
"hikmet-i âmme","herşeyi kuşatan hikmet"
"sefahetkârâne","yasak zevk ve eğlenceye düşkün olarak, beyinsizce"
"abesiyet","faydasızlık, gayesizlik"
"rahmet-i vâsia","herşeyi kuşatan geniş rahmet"
"lâhiyâne","eğlenircesine, oynarcasına"
"tâzip","azap verme"
"izzet-i kudret","kudretin izzet ve şerefi"
"zelilâne","zayıflık içinde, alçakça"
"acz","âcizlik, güçsüzlük"
"takaddüs","kutsal olma, yüce ve temiz olma"
"iman-ı billâh","Allah'a inanmak"
"nükte","ince ve derin mânâ"
"hakikat","gerçek"
"mukteza","gerektirici sebepler"
"kıyamet","dünyanın sonu, varlığın bozulup dağılması"
"haşir ve neşir","öldükten sonra âhirette tekrar diriltilerek Allah'ın huzurunda toplanma ve tekrar dağılıp yayılma"
"dar-ı mücazat ve mükâfat","ceza ve mükafat yeri, âhiret"
"arz","yer, dünya"
"mezkûr","sözü geçen"
"kıymet","değer"
"tahakkuk","gerçekleşme"
"arz","yer, dünya"
"Hâlık","yaratıcı, herşeyi yaratan Allah"
"Rab","herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"Mutasarrıf-ı Hakîm","herşeyi hikmetle yapan ve dilediği gibi kullanan sonsuz tasarruf ve yetki sahibi Allah"
"mezkûr","sözü geçen"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"rahmet","şefkat, merhamet"
"saltanat","egemenlik"
"takarrur","karar bulma, sağlamca yerleşme"
"bâki","devamlı, kalıcı"
"Rab","herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"mezkûr","sözü geçen"
"hakiki","gerçek, doğru"
"müştak","aşık, çok arzulu ve istekli"
"idam-ı ebedî","sonsuz yok oluş"
"kıymet","değer"
"kâinat","evren, yaratılmış herşey"
"kudsî","kutsal, kusursuz ve yüce"
"mükâfat","ödül"
"Sultan-ı Sermedî","egemenliğinin sonu olmayan, devamlı ve sürekli olan Sultan, Allah"
"kemâlât","mükemmellikler, üstünlükler"
"naks","noksanlık, eksiklik"
"kudret","güç, kuvvet, iktidar"
"acz","âcizlik, güçsüzlük"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"sefahet","yasak zevk ve eğlenceye düşkünlük, beyinsizlik, budalalık"
"tenezzüh","kusur ve noksandan temiz olma"
"takaddüs","kutsal olma, yüce ve temiz olma"
"teberri","uzak olma"
"Elhâsıl","özetle, sonuç olarak"
"âhiret","öteki dünya, öldükten sonraki hayat"
"mezkûr","sözü geçen"
"erkân-ı imaniye","imanın temel esasları, şartları"
"haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"şehadet","şahitlik, tanıklık"
"delâlet","delil olma, işaret etme"
"rükn-ü imanî","imanın şartı, temel esası"
"haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"istilzam","gerektirme"
"suret","şekil"
"âlem-i bekà","devamlı ve kalıcı olan âlem, âhiret"
"şehadet","şahitlik, tanıklık"
"delâlet","delil olma, işaret etme"
"Melâike","melekler"
"vücud","varlık"
"vazife-i ubûdiyet","kulluk görevi"
"hadsiz","sayısız"
"müşahede","gözlem"
"mükâleme","karşılıklı konuşma"
"âlem-i ervah","ruhlar âlemi"
"âlem-i gayb","görünmeyen, fakat varlığı kesin olan ve mahiyeti Allah tarafından bilinen başka dünyalar"
"âlem-i bekà","devamlı ve kalıcı olan âlem, âhiret"
"âlem-i âhiret","âhiret âlemi"
"dâr-ı saadet","mutluluk yurdu"
"delâlet","delil olma, işaret etme"
"âlem","dünya"
"izn-i İlâhî","Allah'ın izni"
"Hazret-i Cebrail","dört büyük melekten biri; asıl vazifesi Cenâb-ı Hakkın emir ve yasaklarını peygamberlere bildirmek, yani vahiy getirmektir; bk. Cebrail (a.s.)"
"umum","bütün"
"melâike-i mukarrebîn","makam itibariyle Allah'a yakın olan melekler"
"mezkûr","sözü geçen"
"âlem","dünya"
"müttefikan","ittifakla, fikir birliğiyle"
"Amerika","bk. Amerika"
"vücud","varlık"
"ihbar","haber verme"
"bedihî","açıkça"
"tevatür","çeşitli kanallardan gelen ve doğruluğu kesin olarak kanıtlanan haber"
"melâike","melekler"
"ihbarat","haber vermeler"
"âlem-i bekà","devamlı ve kalıcı olan âlem, âhiret"
"dâr-ı âhiret","âhiret yurdu"
"kat'iyet","kesinlik"
"iman","inanmak"
"iman","inanmak"
"Risale-i Kader","Kader Risalesi (Yirmi Altıncı Söz)"
"iman-ı bil-kader","kadere iman"
"rükn","esas, şart"
"neşr-i suhuf","haşir zamanı amel defterlerinin meydana çıkarılıp herkesin hesabının görülmesi"
"mizan-ı ekber","mahşer günü amellerin ölçüleceği büyük terazi"
"muvazene-i a'mâl","yapılan işlerin, amellerin tartılıp hesaplanması"
"delâlet","delil olma, işaret etme"
"mukadderat","Allah tarafından takdir olunmuş işler, başa gelecek olaylar"
"nizam","düzen"
"mizan","ölçü, denge"
"zîhayat","canlı"
"sergüzeşt-i hayatiye","hayat serüveni"
"kuvve-i hafıza","hafıza duygusu, bellek"
"sair","diğer, başka"
"elvâh-ı misâliye","her şeyin manevî suretlerinin kaydedildiği levhalar"
"zîruh","ruh sahibi"
"hususan","özellikle"
"defter-i a'mâl","insanın iyi ve kötü işlerinin kaydedildiği defter"
"elvâh-ı mahfuza","herşeyin kaderinin muhafaza edildiği mânevî levhalar"
"tesbit","sağlam şekilde yerleştirmek"
"muhit","herşeyi kuşatan, kapsamlı"
"kader","Allah'ın meydana gelecek hadiseleri olmadan önce takdir etmesi, planlaması"
"hakîmâne","hikmetli bir şekilde, herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"müdakkikane","dikkatlice, araştırıp inceleyerek"
"hafîzâne","koruyup gözeten, saklayan"
"kitabet","yazım"
"mahkeme-i kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"umumî","genel"
"muhakeme","değerlendirme, tartma"
"mükâfat","ödül"
"mücazat","ceza"
"ihata","içine alma, kapsama"
"muhafaza","koruma, saklama"
"mânâsız","anlamsız"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"münâfi","zıt, aykırı"
"kader kalemi","Allah'ın ezelî ilmi ile kâinatta olmuş ve olacak herşeyi bilip takdir etmesi ve yazması"
"kitab-ı kâinat","kâinat kitabı"
"muhakkak","hakikati ve gerçeği belli olmuş, kesin"
"cihet-i imkân","mümkün olma yönü"
"kâinat","evren, yaratılmış herşey"
"vücud","varlık"
"inkâr","inanmama, kabul etmeme"
"muhal","bâtıl, boş söz"
"hezeyan","saçmalama"
"Elhâsıl","özetle, sonuç olarak"
"rükn","esas, şart"
"haşir ve neşr","öldükten sonra âhirette tekrar diriltilerek Allah'ın huzurunda toplanma ve tekrar dağılıp yayılma"
"vuku","meydana gelme"
"vücud","varlık"
"dâr-ı âhiret","âhiret yurdu"
"vücud","varlık"
"delâlet","delil olma, işaret etme"
"şehadet","şahitlik, tanıklık"
"talep","isteme"
"hakikat-i haşriye","haşir gerçeği"
"azamet","büyüklük, yücelik"
"muvafık","uygun"
"azamet","büyüklük, yücelik"
"burhan","delil"
"Kur'ân-ı Mucizü'l-Beyân","açıklamalarıyla benzerini yapmakta akılları âciz bırakan, mu'cize olan Kur'ân"
"âhiret","öteki dünya, öldükten sonraki hayat"
"teşkil","oluşturma, meydana getirme"
"hakaik","gerçekler"
"üssü'l-esas","temel esas"
"Mukaddime","başlangıç, giriş"
"nihayet","son"
"Zeyl","ilâve, ek"
"mu'cizâne","mu'cizeli bir şekilde"
"berahin-i haşriye","haşre ait deliller"
"fıkra","bölüm"
"ferman-ı haşr","haşirle ilgili ferman, buyruk"
"bürhan-ı bâhir","çok açık delil"
"hüccet-i kàtıa","kesin delil"
"beyan","açıklama"
"izah","açıklama"
"inşaallah","Allah'ın izniyle"
"LEM'A","parıltı"
"NÜKTE","ince anlamlı söz"
"REMZ","işaret"
"hassa","özellik"
"beyan","açıklama"
"erkân","esaslar, şartlar"
"tahakkuk","gerçekleşme"
"kâinat","evren, yaratılmış herşey"
"hikmet-i hilkat","yaratılış gayesi"
"hakikat-i âliye","yüce gerçek"
"fâni","gelip geçici, ölümlü"
"elemli","sıkıntılı, acı verici"
"hayat-ı dünyeviye","dünya hayatı"
"münhasır","ait"
"hassa","özellik"
"mahiyet","özellik, esas, içyüz"
"azamet","büyüklük, yücelik"
"şecere-i hayat","hayat ağacı"
"şecere","ağaç"
"azamet","büyüklük, yücelik"
"hayat-ı ebediye","sonsuz âhiret hayatı"
"hayat-ı uhreviye","âhiret hayatı"
"hayattar","canlı"
"dâr-ı saadet","mutluluk yurdu"
"hadsiz","sayısız"
"cihazat-ı mühimme","önemli cihazlar"
"teçhiz edilen","cihazlanan, donanan"
"şecere","ağaç"
"zîşuur","şuur sahibi, bilinçli"
"hususan","özellikle"
"hakikat","gerçek mahiyet, asıl, esas,"
"cihazatça","donanımca"
"ziyade","çok, fazla"
"kâinat","evren, yaratılmış herşey"
"zîhayat","canlı"
"mahlûk","yaratık"
"saadet-i hayat","hayattan alınan mutluluk"
"cihet","yön"
"bedbaht","talihsiz"
"zelîl","alçak, aşağılık"
"biçare","çaresiz, zavallı"
"kıymettar","kıymetli, değerli"
"kalb-i insan","insanın kalbi"
"mütemadiyen","sürekli olarak"
"elem","acı, sıkıntı, keder"
"bâtıl","gerçek dışı, yalan"
"hayat-ı dünyeviye","dünya hayatı"
"âhiret","öteki dünya, öldükten sonraki hayat"
"kat'î","kesin"
"ziyade","çok, fazla"
"nümune","örnek"
"münasip","uygun"
"levazımat","gerekli şeyler"
"cihazat","cihazlar, donanım"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"inâyet","yardım, lütuf; bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"rahmet","şefkat, merhamet"
"ihzar","hazırlama"
"bekà","süreklilik ve kalıcılık"
"hususî","özel"
"cüz'î","küçük"
"hadsiz","sayısız"
"leziz","lezzetli"
"taam","yiyecek"
"Mutasarrıf-ı Kadîr","herşeyde istediği gibi tasarruf eden ve herşeye gücü yeten Allah"
"nev-i insan","insanlık, insan türü"
"hayat-ı ebediye","sonsuz hayat"
"esbab","sebepler"
"ihzar","hazırlama"
"nev-i insan","insanlık, insan türü"
"umumî","genel"
"bekà","süreklilik ve kalıcılık"
"hayat-ı uhreviye","âhiret hayatı"
"inşa","yaratma"
"icad","var etme, yaratma"
"kâinat","evren, yaratılmış herşey"
"mahlûk","yaratık"
"zemin","yeryüzü"
"nev-i insan","insanlık, insan türü"
"Arş","en yüksek gök tabakası"
"ferş","yer"
"umumî","genel"
"kemâl-i hikmet","hikmetin mükemmelliği"
"rahmet","şefkat, merhamet"
"inkâr","inanmama, kabul etmeme"
"Hâşâ","asla öyle değil"
"hâşâ","asla öyle değil"
"kabil","mümkün, olabilir"
"cüz'î","küçük"
"kemâl-i itinâ ve ihtimam","son derece dikkat ve özen"
"mahlûkat","yaratıklar"
"hizmetkâr","hizmetçi"
"kıymettar","kıymetli, değerli"
"bâki","devamlı ve kalıcı"
"nazdar","nazlı"
"sadâ","ses"
"bekà","devamlılık, sonsuzluk"
"niyaz","dua, yalvarış"
"nazar","dikkat"
"nefer","asker, er"
"kemâl-i itinâ","son derece dikkat"
"teçhiz","cihazlandırma, donatma"
"mutî","itaat eden, emre uyan"
"muhteşem","ihtişamlı, gösterişli"
"zerre","atom, en küçük madde parçası"
"cihet","yön"
"hadsiz","sınırsız"
"rahmet","şefkat, merhamet"
"muhabbet","sevgi"
"nihayet","son"
"ziyade","çok, fazla"
"Zât-ı Kadîr-i Hakîm","sonsuz güç ve kudret sahibi ve herşeyi hikmetle yapan Zât, Allah"
"ziyade","çok, fazla"
"Sâni","herşeyi sanatla yaratan Allah"
"fıtraten","yaratılış gereği"
"perestiş","kulluk, ibadet"
"zât","kendi, öz"
"cevher","asıl, temel, öz"
"mevt-i ebedî","sonsuz bir ölüm"
"idam","yok etmek"
"muhib","seven"
"habib","sevgili"
"ebedî","sonsuz"
"suret","şekil"
"dehşetli","korkunç"
"rencide","incitmek"
"sırr-ı rahmet","rahmet sırrı"
"nur-u muhabbet","sevgi nuru"
"inkâr","inanmama, kabul etmeme"
"hâşâ ve kellâ","asla ve asla, kesinlikle öyle değil"
"kâinat","evren, yaratılmış herşey"
"cilve","parıltı, yansıma"
"cemâl-i mutlak","sınırsız güzellik"
"umum","bütün"
"mahlûkat","yaratıklar"
"rahmet-i mutlaka","tam ve kesin rahmet"
"hadsiz","sınırsız"
"kubh-u mutlak","tam ve sınırsız çirkinlik"
"zulm-ü mutlak","tam ve sınırsız zulüm"
"nihayet","son"
"münezzeh","her türlü kusur ve noksandan arınmış, temiz"
"mukaddes","her türlü çirkinlik ve eksiklikten yüce, kutsal"
"Netice","sonuç"
"sır","gizem, gizli gerçek"
"sû-i istimal","kötü kullanma"
"dâr-ı bekà","daimî ve kalıcı yer"
"Cennet-i bâkiye","devamlı ve sonsuz Cennet hayatı"
"hayat-ı bâkiye","devamlı, sonsuz hayat"
"mazhar","nail olma, erişme"
"Âmennâ","iman ettik"
"ziya","ışık"
"lem'a","parıltı"
"âyine","ayna"
"bilbedâhe","ap açık şekilde"
"lem'a","parıltı"
"cilve-i in'ikâs","yansımadan ileri gelen görüntü"
"muhtelif","çeşitli"
"yad","anmak"
"Zât-ı Hayy-ı Kayyûm","her an diri olup her canlıya hayat veren ve herşeyi ayakta tutan Zât, Allah"
"Muhyî","bütün canlılara hayat veren Allah"
"cilve-i âzam","en büyük görüntü"
"berr","yer, kara"
"bahr","deniz"
"zîhayat","canlı"
"kudret-i İlâhiye","Allah'ın güç ve kudret"
"Yâ Hayy","ey gerçek hayat sahibi olan ve her canlıya hayat veren Allah"
"perde-i gayb","mânevî âlemleri gözümüzden saklayan perde"
"hayat-ı sermediye","devamlı, sürekli hayat"
"vücub-u vücud","varlığının gerekli oluşu ve var olmak için bir nedene ihtiyacının olmayışı"
"şehadet","şahitlik, tanıklık"
"umum","bütün"
"mevcudat","varlıklar"
"tanzim","düzenleme"
"ilm-i İlâhî","Allah'ın herşeyi kuşatan ilmi"
"şehadet","şahitlik, tanıklık"
"kâinat","evren, yaratılmış herşey"
"tasarruf","herşeyi dilediği gibi kullanan ve yöneten"
"kudret","güç, kuvvet, iktidar"
"burhan","delil"
"tanzim","düzenleme"
"idare-i kâinat","evrenin idaresi"
"hükümfermâ","hüküm süren"
"irade","dileme, tercih, isteme"
"meşiet","irade, istek, arzu"
"hüccet","delil"
"kelâm-ı Rabbânî","herşeyin Rabbi olan Allah'ın kelamı"
"vahy-i İlâhiye","Allah tarafından vahiyle gelen emir ve yasaklar"
"medar","eksen, vesile"
"risalet","peygamberlik"
"alâmet","işaret, belirti"
"mucize","bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şey"
"hâkezâ","böylece"
"sıfât-ı İlâhiye","Allah'ın sıfatları, mukaddes özellikleri, nitelikleri"
"şehadet","şahitlik, tanıklık"
"delâil","deliller"
"bil'ittifak","ittifakla, birleşerek"
"Zât-ı Hayy-ı Kayyûm","her an diri olup her canlıya hayat veren ve herşeyi ayakta tutan Zât, Allah"
"delâlet","delil olma, işaret etme"
"şehadet","şahitlik, tanıklık"
"alâmet","işaret, belirti"
"ihtiyar","irade, seçme gücü, tercih"
"irade","dileme, tercih, isteme"
"kâinat","evren, yaratılmış herşey"
"âsâr","eserler"
"vücut","varlık"
"muhakkak","gerçekliği kesin olarak bilinen"
"bedihî","ap açık"
"kudret-i mutlaka","sınırsız güç, kuvvet ve iktidar"
"irade-i şâmile","herşeyi kuşatan irade"
"ilm-i muhit","herşeyi içine alan ilim"
"delâil","deliller"
"Zât-ı Hayy-ı Kayyûm","her an diri olup her canlıya hayat veren ve herşeyi ayakta tutan Zât, Allah"
"vücub-u vücud","varlığının gerekli oluşu ve var olmak için bir nedene ihtiyacının olmayışı"
"şehadet","şahitlik, tanıklık"
"kâinat","evren, yaratılmış herşey"
"cilve","görünüm, yansıma"
"dâr-ı âhiret","âhiret yurdu"
"zerrât","zerreler, atomlar"
"hayat-ı sermediye","devamlı, sürekli hayat"
"şehadet","şahitlik, tanıklık"
"melâike","melekler"
"iman","inanma"
"rükn","esas, şart"
"remzen","işareten"
"kâinat","evren, yaratılmış herşey"
"ziyade","çok, fazla"
"intişar","yayılmak"
"kıymettarlığı","kıymetlilik, değerlilik"
"nüsha","kopya"
"teksir","çoğaltılmak"
"zemin","yer"
"kafile","topluluk, grup"
"zîhayat","canlı"
"küre-i arz","yerküre, dünya"
"zîhayat","canlı"
"envâ","çeşitler, türler"
"mütemadiyen","sürekli olarak"
"zîhayat","canlı"
"envâ","çeşitler, türler"
"tecdit","yenileme"
"teksir","çoğaltma"
"hikmet","gaye, maksat"
"hasis","değersiz"
"kesretle","çoklukla"
"zîhayat","canlı"
"halk","yaratılmak"
"mahşer-i huveynat","küçük canlıların toplanma yeri"
"sâfi","saf, temiz"
"hülâsa","esas, öz"
"şuur","bilinç, idrak"
"lâtif","güzel, hoş"
"cevher","asıl, temel, öz"
"küre-i arz","yerküre, dünya"
"kesretli","çok"
"suret","şekil, biçim"
"halk","yaratılmak"
"küre-i arz","yerküre, dünya"
"şuur","bilinç, idrak"
"ervah","ruhlar"
"ihyâ","hayat verme"
"küre-i arz","yerküre, dünya"
"lâtif","güzel, hoş"
"nuranî","nurlu, aydınlık"
"ecrâm-ı semâviye","gök cisimleri"
"câmid","cansız"
"şuur","bilinç, idrak"
"haric","dışında"
"hayattar","canlı"
"netice-i hilkat-i semâvât","göklerin yaratılış neticesi, gayesi"
"hitâbât-ı Sübhâniye","her türlü kusur ve noksanlıktan uzak olan Allah'ın kendine has hitap ve konuşmaları"
"mazhar","nail olma, erişme"
"zîşuur","şuur sahibi, bilinçli"
"zîhayat","canlı"
"semâvât","gökler"
"münasip","uygun"
"sekene","sakinler"
"sırr-ı hayat","hayat sırrı"
"melâike","melekler"
"sırr-ı mahiyet","mahiyetinin, içyüzünün sırrı"
"remzen","işareten"
"kâinat","evren, yaratılmış herşey"
"Hayy-ı Kayyûm-u Ezelî","varlığının ve diriliğinin başlangıcı olmayıp her canlıya hayat veren ve herşeyi ayakta tutan Allah"
"cilve-i âzam","en büyük görünüm"
"nakş-ı ekmel","en mükemmel nakış"
"san'at-ı ecmel","en güzel sanat"
"hayat-ı sermediye","sürekli, devamlı hayat"
"resul","peygamber"
"hayat-ı ezeliye","başlangıcı olmayan sonsuz hayat"
"hayattar","canlı"
"kâinat","evren, yaratılmış herşey"
"âlem-i gayb","görünmeyen, fakat varlığı kesin olan ve mahiyeti Allah tarafından bilinen başka dünyalar"
"nehy","yasaklamak"
"kelimât","kelimeler"
"hitâbât","hitâplar"
"nâzil","inmek"
"kâinat","evren, yaratılmış herşey"
"kat'î","kesin"
"suret","şekil, biçim"
"Hayy-ı Ezelî","başlangıcı olmaksızın devamlı hayat sahibi olan Allah"
"vücûb-u vücud","varlığının zorunlu oluşu, var olmak için bir nedene ihtiyacının olmaması"
"kat'î","kesin"
"şehadet","şahitlik"
"hayat-ı Ezeliye","başlangıcı olmayan sonsuz hayat"
"şuâât","ışınlar, parıltılar"
"celevât","cilveler, yansımalar"
"münâsebât","bağlantılar, ilişkiler"
"irsâl-i rusül","peygamberlerin gönderilmesi"
"inzâl-i kütüb","kitapların indirilmesi"
"rükün","esas, şart"
"remzen","işareten"
"risalet-i Muhammediye","Hz. Muhammed'in (a.s.m.) peygamberliği"
"vahy-i Kur'ânî","vahiyle gelen Kur'ân-ı Kerim"
"vücud","varlık"
"hakkaniyet","doğruluk"
"kat'î","kesin"
"kâinat","evren, yaratılmış herşey"
"hülâsa","öz, özet"
"şuur","bilinç, idrak"
"his","duygu"
"hülâsa","öz, özet"
"şuur","bilinç, idrak"
"his","duygu"
"şuur","bilinç, idrak"
"hülâsa","öz, özet"
"hâlis","temiz, katıksız"
"sâfi","saf, duru"
"cevher","asıl, temel, öz"
"müstakil","başlı başına, bağımsız"
"hayat-ı Muhammediye","Hz. Muhammed'in hayatı"
"ruh-u kâinat","evrenin ruhu"
"hülâsatü'l-hülâsa","özün özü"
"risalet-i Muhammediye","Hz. Muhammed'in (a.s.m.) peygamberliği"
"kâinat","evren, yaratılmış herşey"
"his","duygu"
"şuur","bilinç, idrak"
"sâfi","saf, duru"
"hülâsa","öz, özet"
"hayat-ı Muhammediye","Hz. Muhammed'in hayatı"
"âsâr","eserler"
"şehadet","şahitlik"
"hayat-ı kâinat","evrenin hayatı"
"risalet-i Muhammediye","Hz. Muhammed'in (a.s.m.) peygamberliği"
"şuur","bilinç, idrak"
"kâinat","evren, yaratılmış herşey"
"şuur","bilinç, idrak"
"hayattar","canlı"
"hakaik","gerçekler"
"şehadet","şahitlik"
"hayat-ı kâinat","evrenin hayatı"
"şuur-u kâinat","evrenin şuuru, bilinci"
"kâinat","evren, yaratılmış herşey"
